Year,sp,tbill3m,tbond10y,cbond,re,gold,sp_100,tbill3m_100,tbond10y_100,cbond_100,re_100,gold_100,sp_bills,sp_bonds,sp_cbonds,risk_prem,inf_rate,sp_rr,tbill3m_rr,tbond10y_rr,cbond_rr,re_rr,gold_rr
1928,0.4381,0.0308,0.0084,0.0322,0.0149,0.001,143.81,103.08,100.84,103.22,101.49,100.1,0.4073,0.4298,0.4059,na,-0.0116,0.4549,0.0429,0.0201,0.0443,0.0268,0.0127
1929,-0.083,0.0316,0.042,0.0302,-0.0206,-0.0015,131.88,106.34,105.07,106.33,99.4,99.95,-0.1146,-0.125,-0.1132,na,0.0058,-0.0883,0.0256,0.036,0.0242,-0.0263,-0.0073
1930,-0.2512,0.0455,0.0454,0.0054,-0.043,0.001,98.75,111.18,109.85,106.91,95.13,100.05,-0.2967,-0.2966,-0.2566,na,-0.064,-0.2001,0.1169,0.1168,0.0741,0.0224,0.0694
1931,-0.4384,0.0231,-0.0256,-0.1568,-0.0815,-0.1738,55.46,113.74,107.03,90.14,87.38,82.66,-0.4615,-0.4128,-0.2816,na,-0.0932,-0.3807,0.1282,0.0745,-0.0702,0.0129,-0.089
1932,-0.0864,0.0107,0.0879,0.2359,-0.1047,0.2128,50.66,114.96,116.44,111.41,78.23,100.24,-0.0971,-0.1743,-0.3223,na,-0.1027,0.0182,0.1264,0.2125,0.3774,-0.0021,0.3516
1933,0.4998,0.0096,0.0186,0.1297,-0.0381,0.2726,75.99,116.06,118.6,125.86,75.25,127.57,0.4902,0.4813,0.3702,na,0.0076,0.4885,0.002,0.0108,0.1211,-0.0454,0.263
1934,-0.0119,0.0028,0.0796,0.1882,0.0291,0.3175,75.09,116.39,128.05,149.54,77.44,168.07,-0.0147,-0.0915,-0.2,na,0.0152,-0.0266,-0.0122,0.0635,0.1704,0.0137,0.2978
1935,0.4674,0.0017,0.0447,0.1331,0.0977,0.0043,110.18,116.58,133.78,169.44,85,168.8,0.4657,0.4227,0.3343,na,0.0299,0.4249,-0.0274,0.0144,0.1002,0.0658,-0.0248
1936,0.3194,0.0017,0.0502,0.1138,0.0322,0.0009,145.38,116.78,140.49,188.73,87.73,168.94,0.3177,0.2693,0.2056,na,0.0145,0.3006,-0.0126,0.0352,0.0979,0.0174,-0.0134
1937,-0.3534,0.0028,0.0138,-0.0442,0.0256,-0.0023,94,117.11,142.43,180.39,89.98,168.56,-0.3561,-0.3672,-0.3092,na,0.0286,-0.3713,-0.0251,-0.0144,-0.0707,-0.0029,-0.03
1938,0.2928,0.0007,0.0421,0.0924,-0.0087,0.0017,121.53,117.18,148.43,197.05,89.2,168.85,0.2922,0.2507,0.2005,na,-0.0278,0.3298,0.0292,0.0719,0.1236,0.0196,0.0303
1939,-0.011,0.0005,0.0441,0.0798,-0.013,-0.0123,120.2,117.24,154.98,212.78,88.04,166.76,-0.0114,-0.0551,-0.0908,na,0,-0.011,0.0005,0.0441,0.0798,-0.013,-0.0123
1940,-0.1067,0.0004,0.054,0.0865,0.0331,-0.0166,107.37,117.28,163.35,231.18,90.95,164,-0.1071,-0.1608,-0.1932,na,0.0071,-0.1131,-0.0067,0.0465,0.0788,0.0257,-0.0235
1941,-0.1277,0.0013,-0.0202,0.0501,-0.0838,0,93.66,117.43,160.04,242.76,83.32,164,-0.129,-0.1075,-0.1778,na,0.0993,-0.2065,-0.0891,-0.1087,-0.0448,-0.1666,-0.0903
1942,0.1917,0.0034,0.0229,0.0518,0.0333,0,111.61,117.83,163.72,255.33,86.1,164,0.1883,0.1688,0.1399,na,0.0903,0.093,-0.0797,-0.0618,-0.0353,-0.0523,-0.0828
1943,0.2506,0.0038,0.0249,0.0804,0.1145,0,139.59,118.28,167.79,275.88,95.95,164,0.2468,0.2257,0.1702,na,0.0296,0.2147,-0.025,-0.0046,0.0494,0.0824,-0.0287
1944,0.1903,0.0038,0.0258,0.0657,0.1658,0,166.15,118.73,172.12,293.99,111.87,164,0.1865,0.1645,0.1246,na,0.023,0.1636,-0.0188,0.0027,0.0417,0.1396,-0.0225
1945,0.3582,0.0038,0.038,0.068,0.1178,0.0254,225.67,119.18,178.67,313.98,125.04,168.17,0.3544,0.3202,0.2902,na,0.0225,0.3284,-0.0183,0.0152,0.0445,0.0932,0.0029
1946,-0.0843,0.0038,0.0313,0.0251,0.241,0,206.65,119.63,184.26,321.85,155.18,168.17,-0.0881,-0.1156,-0.1094,na,0.1813,-0.2248,-0.1503,-0.127,-0.1323,0.0505,-0.1535
1947,0.052,0.006,0.0092,0.0026,0.2126,0,217.39,120.35,185.95,322.7,188.17,168.17,0.046,0.0428,0.0494,na,0.0884,-0.0334,-0.0757,-0.0727,-0.0788,0.1142,-0.0812
1948,0.057,0.0105,0.0195,0.0344,0.0206,0,229.79,121.61,189.58,333.79,192.05,168.17,0.0466,0.0375,0.0227,na,0.0273,0.0289,-0.0164,-0.0076,0.0068,-0.0066,-0.0266
1949,0.183,0.0112,0.0466,0.0538,0.0009,-0.087,271.85,122.96,198.42,351.74,192.22,153.54,0.1719,0.1364,0.1293,na,-0.0183,0.2051,0.03,0.0661,0.0734,0.0195,-0.07
